dataset_column,paper_figure_label,figure1_name,codebook_name,construct,instrument,type,definition_docs,assumed_definition,units,n_present,pct_missing,analysis_role,notes
ID,,,ID,Identifier,-,id,Informant number (H/S/K + number),,-,75,0.0,identifier,83 numbered -> 75 in data (8 excluded)
Gruppe,,,Gruppe,Group,-,label,"0=HI,1=SLI/DLD,2=Control",,-,75,0.0,target,Coded SLI; paper uses DLD
Køn,,,Køn,Demographic,-,demographic,"1=boy,2=girl",,-,75,0.0,covariate,
Fødselsdato,,,Fødselsdato,Demographic,-,date,Date of birth,,-,75,0.0,source,
Alder,,,Alder,Demographic,-,demographic,Age år;mdr (year;month),,years;months,75,0.0,do-not-average,Use Alder_mdr for decimal age
Aldersgruppe,,,Aldersgruppe,Demographic,-,demographic,Age band 1=7y..6=12y,,-,75,0.0,covariate,
BEHL,,,(new; not in codebook),Hearing level,Audiometry (unaided),clinical,Best Ear Hearing Level (degree of hearing loss),,dB,16,78.7,HI-descriptor,NEW; HI group only; describe HI severity
DLD-like from the PhD,,,(new; not in codebook),Clinical judgment,PhD,label,"1=DLD-like, 2=not DLD-like (clinical impression)",,-,16,78.7,HI-validation,NEW; HI only; model-vs-clinical 13/16 agree
Alder_mdr,Age,,Alder_mdr,Demographic,derived,demographic,Age in months (decimal age = /12),,months,75,0.0,covariate,Age covariate uses Alder_mdr/12
NIQ,Nonverbal IQ (Block Design),NIQ,NIQ,Nonverbal reasoning,WISC-IV,raw_score,Block Design raw score,,points,70,6.7,primary-feature,DLD ~1 SD below; ranks low
TaF,,TaF,TaF,Verbal STM,WISC-IV,raw_score,"Forward digit span, points",,points,74,1.3,not-used,span (LTaF) used instead
LTaF,Digit span forward,LTaF,LTaF,Verbal STM,WISC-IV,span_score,"Forward digit span, longest span",,items,74,1.3,primary-feature,TOP feature
TaF_samletscore,,,TaF_samletscore,Verbal STM,WISC-IV,composite,Timing-based composite,,-,74,1.3,not-used,
TaB,,TaB,TaB,Verbal WM,WISC-IV,raw_score,"Backward digit span, points",,points,74,1.3,not-used,span used instead
LTaB,Digit span backward,LTaB,LTaB,Verbal WM,WISC-IV,span_score,"Backward digit span, longest span",,items,74,1.3,primary-feature,
