feature,target,r,p,n
Digit span forward,Language,-0.636,0.011,15
Digit span forward,Speech,-0.568,0.027,15
Digit span forward,Comprehension,-0.46,0.084,15
Digit span forward,Communication,-0.375,0.169,15
Digit span forward,Memory,-0.318,0.248,15
Digit span forward,BEHL,-0.201,0.473,15
Digit span forward,model_prob,-0.909,0.0,15
Digit span backward,Language,-0.336,0.204,16
Digit span backward,Speech,-0.153,0.571,16
Digit span backward,Comprehension,-0.323,0.223,16
Digit span backward,Communication,-0.32,0.227,16
Digit span backward,Memory,0.044,0.872,16
Digit span backward,BEHL,0.031,0.908,16
Digit span backward,model_prob,-0.72,0.002,16
CLPT word recall,Language,-0.345,0.191,16
CLPT word recall,Speech,-0.2,0.459,16
CLPT word recall,Comprehension,-0.279,0.295,16
CLPT word recall,Communication,-0.469,0.067,16
CLPT word recall,Memory,0.03,0.911,16
CLPT word recall,BEHL,0.232,0.388,16
CLPT word recall,model_prob,-0.538,0.032,16
CLPT listening span,Language,-0.195,0.47,16
CLPT listening span,Speech,0.001,0.998,16
CLPT listening span,Comprehension,-0.257,0.337,16
CLPT listening span,Communication,-0.276,0.3,16
CLPT listening span,Memory,0.23,0.391,16
CLPT listening span,BEHL,-0.063,0.816,16
CLPT listening span,model_prob,-0.488,0.055,16
Nonword serial recall,Language,-0.092,0.735,16
Nonword serial recall,Speech,-0.093,0.731,16
Nonword serial recall,Comprehension,0.017,0.95,16
Nonword serial recall,Communication,-0.236,0.38,16
Nonword serial recall,Memory,0.388,0.138,16
Nonword serial recall,BEHL,-0.608,0.013,16
Nonword serial recall,model_prob,-0.42,0.105,16
Grammatical comprehension (TROG-2),Language,-0.731,0.001,16
Grammatical comprehension (TROG-2),Speech,-0.622,0.01,16
Grammatical comprehension (TROG-2),Comprehension,-0.61,0.012,16
Grammatical comprehension (TROG-2),Communication,-0.357,0.174,16
Grammatical comprehension (TROG-2),Memory,0.136,0.615,16
Grammatical comprehension (TROG-2),BEHL,-0.045,0.87,16
Grammatical comprehension (TROG-2),model_prob,-0.759,0.001,16
Response inhibition (Go/Stop),Language,0.007,0.98,16
Response inhibition (Go/Stop),Speech,0.146,0.589,16
Response inhibition (Go/Stop),Comprehension,0.086,0.752,16
Response inhibition (Go/Stop),Communication,-0.35,0.184,16
Response inhibition (Go/Stop),Memory,0.214,0.426,16
Response inhibition (Go/Stop),BEHL,0.337,0.202,16
Response inhibition (Go/Stop),model_prob,-0.177,0.511,16
Visuospatial WM (Odd-One-Out),Language,-0.512,0.043,16
Visuospatial WM (Odd-One-Out),Speech,-0.188,0.485,16
Visuospatial WM (Odd-One-Out),Comprehension,-0.534,0.033,16
Visuospatial WM (Odd-One-Out),Communication,-0.4,0.125,16
Visuospatial WM (Odd-One-Out),Memory,-0.087,0.749,16
Visuospatial WM (Odd-One-Out),BEHL,-0.079,0.771,16
Visuospatial WM (Odd-One-Out),model_prob,-0.682,0.004,16
Selective attention (Sky Search),Language,-0.089,0.744,16
Selective attention (Sky Search),Speech,-0.275,0.303,16
Selective attention (Sky Search),Comprehension,0.159,0.557,16
Selective attention (Sky Search),Communication,-0.251,0.349,16
Selective attention (Sky Search),Memory,-0.336,0.203,16
Selective attention (Sky Search),BEHL,-0.156,0.564,16
Selective attention (Sky Search),model_prob,-0.383,0.143,16
Nonverbal reasoning (Block Design),Language,-0.557,0.025,16
Nonverbal reasoning (Block Design),Speech,-0.409,0.115,16
Nonverbal reasoning (Block Design),Comprehension,-0.427,0.099,16
Nonverbal reasoning (Block Design),Communication,-0.342,0.195,16
Nonverbal reasoning (Block Design),Memory,-0.108,0.691,16
Nonverbal reasoning (Block Design),BEHL,0.125,0.644,16
Nonverbal reasoning (Block Design),model_prob,-0.595,0.015,16
Verbal fluency: correct,Language,-0.285,0.285,16
Verbal fluency: correct,Speech,-0.062,0.819,16
Verbal fluency: correct,Comprehension,-0.365,0.164,16
Verbal fluency: correct,Communication,0.064,0.815,16
Verbal fluency: correct,Memory,-0.257,0.337,16
Verbal fluency: correct,BEHL,0.074,0.784,16
Verbal fluency: correct,model_prob,-0.466,0.069,16
Verbal fluency: switches,Language,-0.22,0.414,16
Verbal fluency: switches,Speech,-0.113,0.677,16
Verbal fluency: switches,Comprehension,-0.216,0.421,16
Verbal fluency: switches,Communication,0.158,0.559,16
Verbal fluency: switches,Memory,-0.053,0.845,16
Verbal fluency: switches,BEHL,0.206,0.444,16
Verbal fluency: switches,model_prob,-0.143,0.597,16
Verbal fluency: subcat.,Language,-0.401,0.124,16
Verbal fluency: subcat.,Speech,-0.391,0.134,16
Verbal fluency: subcat.,Comprehension,-0.403,0.121,16
Verbal fluency: subcat.,Communication,-0.016,0.955,16
Verbal fluency: subcat.,Memory,-0.245,0.361,16
Verbal fluency: subcat.,BEHL,0.027,0.921,16
Verbal fluency: subcat.,model_prob,-0.296,0.266,16
Verbal fluency: persev.,Language,0.018,0.947,16
Verbal fluency: persev.,Speech,0.029,0.914,16
Verbal fluency: persev.,Comprehension,-0.118,0.663,16
Verbal fluency: persev.,Communication,0.321,0.225,16
Verbal fluency: persev.,Memory,0.11,0.684,16
Verbal fluency: persev.,BEHL,-0.139,0.608,16
Verbal fluency: persev.,model_prob,0.131,0.629,16
Verbal fluency: intrusions,Language,0.371,0.158,16
Verbal fluency: intrusions,Speech,0.501,0.048,16
Verbal fluency: intrusions,Comprehension,0.06,0.825,16
Verbal fluency: intrusions,Communication,0.337,0.202,16
Verbal fluency: intrusions,Memory,-0.233,0.384,16
Verbal fluency: intrusions,BEHL,-0.163,0.546,16
Verbal fluency: intrusions,model_prob,0.212,0.431,16
