k_tests,AUC,AUC_lo,AUC_hi,BalAcc,BalAcc_lo,BalAcc_hi
1,0.945,0.793,1.0,0.895,0.708,1.0
2,0.974,0.884,1.0,0.899,0.741,1.0
3,0.975,0.889,1.0,0.894,0.741,1.0
4,0.975,0.889,1.0,0.892,0.741,1.0
5,0.975,0.889,1.0,0.892,0.741,1.0
6,0.975,0.889,1.0,0.892,0.741,1.0
7,0.975,0.889,1.0,0.892,0.741,1.0
8,0.975,0.889,1.0,0.892,0.741,1.0
9,0.975,0.889,1.0,0.892,0.741,1.0
10,0.975,0.889,1.0,0.892,0.741,1.0
11,0.975,0.889,1.0,0.892,0.741,1.0
12,0.975,0.889,1.0,0.892,0.741,1.0
13,0.975,0.889,1.0,0.892,0.741,1.0
14,0.975,0.889,1.0,0.892,0.741,1.0
15,0.975,0.889,1.0,0.892,0.741,1.0
