,PC1,PC2,PC3
CLPT word recall,0.277,0.023,0.077
Digit span forward,0.31,-0.108,0.039
Grammatical comprehension,0.297,-0.102,0.068
CLPT listening span,0.283,0.019,0.202
Response inhibition,0.243,-0.217,0.302
VF correct,0.313,0.229,-0.174
VF switches,0.295,0.412,-0.229
Selective attention,0.186,-0.153,-0.214
Nonword serial recall,0.243,-0.2,-0.065
Digit span backward,0.279,-0.193,0.173
Nonverbal reasoning,0.284,-0.011,0.12
VF subcat.,0.276,0.292,-0.427
Odd-One-Out (visuospatial WM),0.27,0.002,0.353
VF intrusions,-0.117,0.275,0.558
VF persev.,-0.005,0.668,0.247
