Measure,variable,n,DLD_M_SD,HI_M_SD,Control_M_SD,n_test,KW_H,KW_p,KW_p_holm15,epsilon2,Dunn_DLDvsControl_p_holm,Dunn_DLDvsHI_p_holm,Dunn_HIvsControl_p_holm
CLPT word recall,LSPHUK,74,0.39 (0.25),0.59 (0.19),0.72 (0.08),74,35.68,0.0,0.0,0.489,0.0,0.0198,0.0198
Digit span forward,LTaF,74,3.52 (0.58),5.00 (0.76),5.50 (1.02),74,43.28,0.0,0.0,0.593,0.0,0.0001,0.2828
Grammatical comprehension (TROG-2),TROGB,75,10.07 (4.58),14.44 (3.48),16.62 (2.23),75,31.4,0.0,0.0,0.424,0.0,0.0094,0.0627
CLPT listening span,LSPLRAE,74,1.23 (1.11),2.06 (0.85),2.81 (0.90),74,26.53,0.0,0.0,0.363,0.0,0.0395,0.0432
Response inhibition (Go/Stop),GåStop,74,8.92 (4.53),10.94 (5.21),14.59 (3.00),74,23.33,0.0,0.0001,0.32,0.0,0.1641,0.0161
Verbal fluency: correct,verbfluantal,75,11.19 (4.16),15.31 (4.83),18.06 (5.54),75,21.01,0.0,0.0002,0.284,0.0,0.0344,0.1486
Verbal fluency: switches,verbfluskift,75,15.52 (4.81),19.56 (5.45),24.06 (7.44),75,21.96,0.0,0.0002,0.297,0.0,0.0919,0.0919
Selective attention (Sky Search),HimOpmscore_skala,75,7.48 (4.39),9.12 (4.46),10.53 (4.16),75,5.96,0.0509,0.1526,0.081,0.0446,0.5421,0.5421
Nonword serial recall,NonLRAE,74,2.33 (1.21),2.62 (1.15),3.55 (1.23),74,20.88,0.0,0.0002,0.286,0.0,0.4621,0.0058
Digit span backward,LTaB,74,2.33 (1.33),3.12 (1.09),4.03 (1.17),74,21.7,0.0,0.0002,0.297,0.0,0.1005,0.0453
Nonverbal reasoning (Block Design),NIQ,70,21.65 (11.26),36.06 (10.87),39.61 (14.49),70,21.46,0.0,0.0002,0.311,0.0,0.0032,0.5128
Verbal fluency: subcat.,verbflusubkat,75,8.70 (3.02),10.81 (2.07),12.19 (3.22),75,15.41,0.0004,0.0022,0.208,0.0003,0.0964,0.1906
Visuospatial WM (Odd-One-Out),OOU,74,2.67 (1.49),3.94 (1.57),4.42 (1.82),74,14.23,0.0008,0.0033,0.195,0.0007,0.0329,0.4937
Verbal fluency: intrusions,verbfluintru,75,0.52 (1.25),0.62 (1.26),0.25 (0.51),75,1.3,0.5215,0.5215,0.018,0.99,0.99,0.7644
Verbal fluency: persev.,verbflupers,75,0.59 (1.01),0.94 (0.85),0.53 (0.72),75,3.48,0.1753,0.3506,0.047,0.8596,0.246,0.246
